transaction_id,risk_score,risk_level
7d4e9561-000c-44c8-84e4-54af2c4ac209,4.99,Low
fbf88cde-dc62-4f36-ac10-a1b1fd771793,3.67,Low
d746c963-baaa-46a0-80f4-b050e14e1c7d,6.16,Low
e5f8a1cc-4bf6-46d2-b9b2-aa393ff4e244,8.14,Low
34309820-3aec-4fa4-9518-03437830e1e0,64.39,Medium
766452f2-3b87-4acb-8892-b93352999ccf,7.28,Low
31de092d-42dc-49e1-9240-e3de481c28cb,5.2,Low
5a978142-7a92-4e57-942e-f993c966aaee,5.42,Low
007de78c-9f8b-4711-9c88-0ae51bacc3a1,9.36,Low
ce10415b-7124-4e40-97eb-b8046d53f132,6.96,Low
2d000434-35e1-43c0-85d6-5ff035ba2a86,4.8,Low
9ae25602-c7cb-4641-82e0-c8c64cecb42f,6.81,Low
3c68b739-8704-4292-a101-40c90bec34de,3.45,Low
af33f3ac-9c62-4c44-b873-7e901d13e78a,5.5,Low
525c27b5-f0bb-465f-9cc6-46221d1d93ee,6.34,Low
1789d820-3c42-4027-830a-b3e5972c5ca4,4.52,Low
4db22c11-801a-40d5-ad02-06a5b5e9aeb5,4.45,Low
d61f3ef0-0065-4fbc-9fe5-8dcb5df35bc2,60.35,Medium
cacd3356-8c50-43b8-b0ed-d0f4d3b7c4a2,7.92,Low
64d07d05-9dcb-4bb0-adf7-6bead159a2db,5.21,Low
37df7961-2c15-4c85-bc41-6870eec24b6d,6.85,Low
43f8d7cf-1c13-4652-8acc-f29f778ba734,12.47,Low
b3bb59d2-9a25-4e27-973a-0069275cdfc7,4.68,Low
af247c18-0f17-4173-9f1a-9fe3d714f8d5,61.3,Medium
73babf5b-5906-49bf-8d41-ab4d78d9b64a,3.6,Low
8a1d3219-b99a-4505-8ae3-85b7672cfee4,7.85,Low
b0e518e7-fe53-4a63-93c7-ca628c163ce4,4.37,Low
b1a74bb9-17b2-4d36-9f1b-90b3cdc2e129,3.85,Low
3da5ae3f-d0a4-4b0e-b527-206e7b9e8ecd,45.38,Medium
54f64d3c-020b-46a6-9f14-c5730dbaa7b0,6.23,Low
e3b2be07-c367-4fc4-8beb-396027829e81,3.63,Low
e5f39f6e-c7b6-40a2-97bd-2da387148516,6.81,Low
6e2a3899-98e7-4fdb-8d14-cfe8e78a4b29,2.94,Low
5d7e5028-4347-4a63-8897-299c1ec981de,54.8,Medium
4c152711-e9ce-461b-9ad3-84c0b17c819d,62.4,Medium
a41da122-ec58-446d-b81a-1f18938aca00,4.44,Low
03b299b8-1324-471c-92e2-2ffdaf3686ea,3.65,Low
e9cd555a-ee0a-4c07-aa43-3dc3e82930d4,52.74,Medium
6cc1edb5-a335-4a3f-b4a4-7fca673c7664,11.32,Low
f5f959a1-ec2f-471b-8110-f9ddd72f635b,8.83,Low
c228fa6e-1864-48c8-a929-c39f42448330,4.42,Low
ad30e9ea-b677-49b6-b221-113a1468898d,4.06,Low
6d04d0a5-34d1-4b0b-b2a8-c18585c49cf1,4.19,Low
5e047373-8108-4301-b174-4c7fdc95e1ca,41.6,Medium
4c0cfbb6-ad4d-46bb-a1bb-6cd6e1db276a,4.28,Low
c18ccb9a-1a2d-4724-8f5f-ac26dd301101,66.47,Medium
f1a1f4af-a551-4a22-8e42-3d06dad7afdc,4.7,Low
4d573b01-719e-4ca1-af1f-792636024d02,5.34,Low
cbd316ff-227e-4076-b593-a6b2103a77d0,5.65,Low
e27aac1f-9423-40cc-8b4c-b26a1de5c2e4,4.68,Low
1f511758-cae0-4165-ab01-1587a96159e4,4.56,Low
566cba96-e635-46bc-b898-f4394dfa34d4,5.42,Low
8cbafe12-85f8-4901-95d8-e42387f27263,6.45,Low
3831931b-6b71-4a24-847c-8d07f9a2a091,9.75,Low
0ea3b43b-151e-41bb-8224-2887e8792841,6.35,Low
353066b7-fa78-4edd-b901-7a029065b118,3.61,Low
b8b12866-4779-4e65-bda5-2bd75fce1f7f,4.21,Low
2452b312-7723-4fa1-a264-eefc53059011,8.99,Low
10843d39-3820-4216-a6ab-f268517c4a87,4.85,Low
6ce70ae0-61dd-4525-a67e-9df53e29bd11,4.72,Low
e5e4bd93-f6f4-4a32-9eab-a67b3e818a6e,3.94,Low
46f84b0a-002b-45ac-b9de-14e9f1dff8b8,7.71,Low
6fe177f5-9571-4c08-9265-9ebf37100395,6.0,Low
00cd966a-31fa-4e3a-b30d-4fbc39f0983b,4.36,Low
52ec58da-8a53-408d-9980-2a0779c0fd87,4.7,Low
28028652-04dd-4abb-bbb7-bbc691c016a6,8.88,Low
c2493d84-d6b7-42f4-b089-2963d9d36db2,5.23,Low
eb4a89bc-53c3-4f58-957f-99eb57b3f95e,3.8,Low
fd33f1db-5ece-436d-abd2-d9abca879b24,5.8,Low
92790a89-92ee-463d-a0b5-7814418a9406,4.04,Low
35a2652e-26ef-4170-b975-1212b1e65567,11.24,Low
855fde11-40ab-41b5-8196-6c916c017dd6,74.54,High
c7163f4b-b7ba-4008-a40b-6a9cd35d4351,6.35,Low
6b640d8d-b02a-496c-956a-0e199bd7ee66,4.18,Low
6eb07198-b399-44b0-9500-5946a6fa2300,4.19,Low
82fa9383-88ee-4b05-a912-6956fa65b0e2,6.04,Low
7f16667b-c262-418e-8545-1892c9fbbde9,5.55,Low
bedab21d-bfd2-43c9-b4bc-3b86850ba85a,5.41,Low
427a89e7-906c-4dc5-862b-191c060bb139,5.15,Low
ef65620a-9bae-42e8-88a4-7c1b98546cfb,16.47,Low
6a2ade6d-b7ec-42ae-924a-7b8cb130cae8,6.64,Low
851e870d-d9cf-4c17-9fb6-688409e2cc08,4.18,Low
e411e498-2177-47a0-bb72-860ae16291fa,5.61,Low
2e489eab-6d20-4b7e-b3c9-aa595d3884b1,6.6,Low
a856dc6c-d94d-44f3-b241-f231e7e7d86f,7.93,Low
f740d473-e699-4e64-887d-231c38ee7a8c,3.25,Low
325fe6c7-46d3-4fd3-9f17-6034a5e76f68,4.75,Low
b8b0394b-513e-4432-b12e-eabd56524184,74.87,High
21f5248c-cd72-476b-9934-5208887444d9,5.66,Low
dbf0b5d2-bf31-43f0-a7c6-5ffdad9d8f59,6.13,Low
2bf368a5-e689-4212-b55e-91bfc0dc9998,7.25,Low
1763c309-af8e-40a1-83d3-baa226926c96,6.94,Low
401d22e3-e390-47d2-903d-e110af170cfc,2.75,Low
f94a33ee-1bf8-489f-b133-05424ad86159,3.69,Low
a0287698-ed18-4f11-98c7-0ca1da46fab7,84.13,High
dcbf315f-2176-4310-819e-8570126dfe3a,6.2,Low
f283dd2f-e9a6-43c2-8de4-a1e58002b551,7.67,Low
53b1671e-44ff-4d74-8fb9-c6cc4f51447c,7.26,Low
453dcffb-2c7e-486f-bb05-05b82746a0e2,5.17,Low
6b50a8bf-f13e-4c17-ad6a-3fa9ff95cc90,6.06,Low
948c67cc-0c65-432e-87d8-98605710c755,4.79,Low
5038f18f-7ca2-4141-b9a5-6fa40296ba23,4.0,Low
8bf3d19d-3937-43d5-9717-b5be6000e927,5.6,Low
52f33e37-825d-4f9b-bd63-7eece096e758,2.74,Low
9837d708-2b5a-44cb-89f4-c0268064c8af,3.26,Low
dbf8aeea-7b71-4312-abbe-9bb5db94f83d,2.1,Low
cea7d0cc-0d00-4a12-b176-83a980344960,3.15,Low
4804ecf3-40dd-4f23-875c-3175ebe2603c,1.76,Low
42c70c94-72bf-45e4-bebf-2a48e1326616,5.54,Low
d154800a-23a8-4384-8e7f-d1b3c3006bd2,4.85,Low
de54c8a9-4bfb-42e0-973e-b64dece128eb,17.65,Low
4a2e49ce-143a-4149-8018-4dca3bbb443c,6.75,Low
33f89d03-c4d0-4c50-ad5d-8bd08d63e26e,5.46,Low
eac65499-9af8-4dd0-abc7-1e7da84864c7,3.44,Low
0ab7fd8b-e1c2-48cc-81d9-c4847b541117,59.83,Medium
35dbb710-6781-4f19-ad55-d2b9022647b6,74.27,High
bcc4dc67-f236-42a1-8c29-02d8582de788,4.96,Low
74f8a7e9-1e23-42e4-9648-e4f56e81e638,5.63,Low
a8b60383-85f2-4ddc-8328-5288aed93785,50.95,Medium
ac1d81ac-7455-4a59-8650-0b235569ef9a,5.19,Low
42782bd8-05ac-4d1b-941b-02e6938fe89f,6.71,Low
797b519f-28b0-4688-a791-9def89c7f2ee,2.72,Low
e28d0a69-3d06-48fe-b01e-dca9baaaa95f,4.02,Low
1b0bc52c-d47f-4b03-9855-d8f318ff2b16,3.22,Low
5d0a196f-1c48-403a-a1e9-dd7b79405961,6.1,Low
5b68100f-cb6e-4e6d-bb0b-345ebb6709d9,57.33,Medium
03baa586-8027-4b20-8797-c28391cfd4dc,6.5,Low
699fe114-2910-41ab-a942-0b666187d619,6.41,Low
7db2c02b-341e-4b42-9729-4a8369fb249e,5.3,Low
aeb5a387-99da-4b8f-a5ff-286977e8c7e3,3.44,Low
83b3234a-9d76-4241-8c1a-53a6e4fdb926,2.73,Low
