anomaly_score,decision,actual_fraud
0.1952,ALLOW,0
0.0912,ALLOW,0
0.2491,ALLOW,0
0.1876,ALLOW,0
0.3898,ALLOW,1
0.2411,ALLOW,0
0.2143,ALLOW,0
0.1948,ALLOW,0
0.3585,ALLOW,0
0.1913,ALLOW,0
0.1694,ALLOW,0
0.1525,ALLOW,0
0.1274,ALLOW,0
0.2561,ALLOW,0
0.1384,ALLOW,0
0.2548,ALLOW,0
0.1725,ALLOW,0
0.3529,ALLOW,1
0.3832,ALLOW,0
0.2,ALLOW,0
0.1668,ALLOW,0
0.204,ALLOW,0
0.1655,ALLOW,0
0.2616,ALLOW,1
0.1834,ALLOW,0
0.2105,ALLOW,0
0.1396,ALLOW,0
0.1297,ALLOW,0
0.2398,ALLOW,1
0.2305,ALLOW,0
0.1695,ALLOW,0
0.1941,ALLOW,0
0.131,ALLOW,0
0.3854,ALLOW,1
0.2945,ALLOW,1
0.2109,ALLOW,0
0.2699,ALLOW,0
0.2155,ALLOW,0
0.1104,ALLOW,0
0.2139,ALLOW,0
0.1426,ALLOW,0
0.2648,ALLOW,0
0.1355,ALLOW,0
0.2752,ALLOW,1
0.2817,ALLOW,0
0.2622,ALLOW,1
0.1831,ALLOW,0
0.2232,ALLOW,0
0.2548,ALLOW,0
0.2213,ALLOW,0
0.1061,ALLOW,0
0.2356,ALLOW,0
0.3456,ALLOW,0
0.2996,ALLOW,0
0.1828,ALLOW,0
0.1517,ALLOW,0
0.2477,ALLOW,0
0.3027,ALLOW,0
0.1689,ALLOW,0
0.1958,ALLOW,0
0.0849,ALLOW,0
0.1682,ALLOW,0
0.2081,ALLOW,0
0.1615,ALLOW,0
0.2174,ALLOW,0
0.1638,ALLOW,0
0.1564,ALLOW,0
0.2714,ALLOW,0
0.1949,ALLOW,0
0.1472,ALLOW,0
0.2717,ALLOW,0
0.2919,ALLOW,1
0.2261,ALLOW,0
0.267,ALLOW,0
0.1192,ALLOW,0
0.2688,ALLOW,0
0.14,ALLOW,0
0.1532,ALLOW,0
0.2045,ALLOW,0
0.1469,ALLOW,0
0.1363,ALLOW,0
0.147,ALLOW,0
0.0725,ALLOW,0
0.2456,ALLOW,0
0.2556,ALLOW,0
0.1509,ALLOW,0
0.1599,ALLOW,0
0.3546,ALLOW,1
0.1634,ALLOW,0
0.2363,ALLOW,0
0.1774,ALLOW,0
0.2288,ALLOW,0
0.1629,ALLOW,0
0.1224,ALLOW,0
0.4344,MONITOR,1
0.2783,ALLOW,0
0.1208,ALLOW,0
0.1394,ALLOW,0
0.2295,ALLOW,0
0.1096,ALLOW,0
0.0919,ALLOW,0
0.2257,ALLOW,0
0.1047,ALLOW,0
0.1953,ALLOW,0
0.1464,ALLOW,0
0.1809,ALLOW,0
0.1354,ALLOW,0
0.0991,ALLOW,0
0.2142,ALLOW,0
0.0895,ALLOW,0
0.2576,ALLOW,1
0.2203,ALLOW,0
0.2216,ALLOW,0
0.1471,ALLOW,0
0.2983,ALLOW,1
0.3596,ALLOW,1
0.1455,ALLOW,0
0.2456,ALLOW,0
0.2785,ALLOW,1
0.1786,ALLOW,0
0.2149,ALLOW,0
0.2889,ALLOW,0
0.1929,ALLOW,0
0.2077,ALLOW,0
