Transaction_ID,Risk_Score_0_100,Actual_Label,Action
0,18.41,0,BLOCK
1,13.87,0,BLOCK
2,25.29,0,BLOCK
3,15.43,0,BLOCK
4,4.28,1,BLOCK
5,23.21,0,BLOCK
6,22.23,0,BLOCK
7,20.23,0,BLOCK
8,28.87,0,BLOCK
9,23.04,0,BLOCK
10,18.09,0,BLOCK
11,17.56,0,BLOCK
12,12.58,0,BLOCK
13,21.65,0,BLOCK
14,20.42,0,BLOCK
15,21.86,0,BLOCK
16,16.02,0,BLOCK
17,1.8,1,ALLOW
18,13.14,0,BLOCK
19,18.08,0,BLOCK
20,14.7,0,BLOCK
21,5.24,0,BLOCK
22,19.24,0,BLOCK
23,4.71,1,BLOCK
24,14.62,0,BLOCK
25,24.34,0,BLOCK
26,21.83,0,BLOCK
27,19.03,0,BLOCK
28,3.43,1,ALLOW
29,16.46,0,BLOCK
30,13.54,0,BLOCK
31,14.23,0,BLOCK
32,9.31,0,BLOCK
33,1.51,1,ALLOW
34,1.22,1,ALLOW
35,18.01,0,BLOCK
36,26.47,0,BLOCK
37,2.65,0,ALLOW
38,4.8,0,BLOCK
39,19.27,0,BLOCK
40,22.98,0,BLOCK
41,21.93,0,BLOCK
42,13.52,0,BLOCK
43,10.99,1,BLOCK
44,27.66,0,BLOCK
45,5.19,1,BLOCK
46,14.85,0,BLOCK
47,16.6,0,BLOCK
48,20.62,0,BLOCK
49,21.15,0,BLOCK
50,21.29,0,BLOCK
51,19.89,0,BLOCK
52,20.21,0,BLOCK
53,19.77,0,BLOCK
54,13.88,0,BLOCK
55,11.33,0,BLOCK
56,23.45,0,BLOCK
57,17.67,0,BLOCK
58,20.01,0,BLOCK
59,12.06,0,BLOCK
60,15.38,0,BLOCK
61,18.13,0,BLOCK
62,16.69,0,BLOCK
63,16.24,0,BLOCK
64,16.46,0,BLOCK
65,15.8,0,BLOCK
66,17.22,0,BLOCK
67,17.61,0,BLOCK
68,13.73,0,BLOCK
69,14.73,0,BLOCK
70,22.31,0,BLOCK
71,6.8,1,BLOCK
72,18.83,0,BLOCK
73,26.5,0,BLOCK
74,13.51,0,BLOCK
75,24.22,0,BLOCK
76,14.58,0,BLOCK
77,18.35,0,BLOCK
78,20.92,0,BLOCK
79,5.38,0,BLOCK
80,16.55,0,BLOCK
81,14.19,0,BLOCK
82,22.7,0,BLOCK
83,19.0,0,BLOCK
84,18.66,0,BLOCK
85,16.54,0,BLOCK
86,14.56,0,BLOCK
87,1.7,1,ALLOW
88,16.77,0,BLOCK
89,23.18,0,BLOCK
90,22.63,0,BLOCK
91,20.82,0,BLOCK
92,17.31,0,BLOCK
93,10.99,0,BLOCK
94,3.93,1,BLOCK
95,19.2,0,BLOCK
96,21.77,0,BLOCK
97,18.49,0,BLOCK
98,22.25,0,BLOCK
99,20.08,0,BLOCK
100,16.0,0,BLOCK
101,19.7,0,BLOCK
102,12.96,0,BLOCK
103,15.37,0,BLOCK
104,17.94,0,BLOCK
105,15.41,0,BLOCK
106,14.89,0,BLOCK
107,12.73,0,BLOCK
108,21.53,0,BLOCK
109,13.71,0,BLOCK
110,13.11,1,BLOCK
111,15.69,0,BLOCK
112,25.26,0,BLOCK
113,19.26,0,BLOCK
114,2.44,1,ALLOW
115,1.91,1,ALLOW
116,19.43,0,BLOCK
117,22.9,0,BLOCK
118,1.85,1,ALLOW
119,14.43,0,BLOCK
120,15.25,0,BLOCK
121,24.64,0,BLOCK
122,29.73,0,BLOCK
123,22.28,0,BLOCK
124,16.75,0,BLOCK
125,9.1,0,BLOCK
126,19.53,0,BLOCK
127,11.75,0,BLOCK
128,15.28,0,BLOCK
129,17.67,0,BLOCK
130,18.03,0,BLOCK
131,12.23,1,BLOCK
132,16.95,0,BLOCK
133,13.22,0,BLOCK
134,20.98,0,BLOCK
135,24.34,0,BLOCK
136,16.18,0,BLOCK
137,21.53,0,BLOCK
138,2.59,0,ALLOW
139,27.2,0,BLOCK
140,18.73,0,BLOCK
141,24.37,0,BLOCK
142,25.16,0,BLOCK
143,21.47,0,BLOCK
144,13.35,0,BLOCK
145,15.97,1,BLOCK
146,4.05,0,BLOCK
147,24.66,0,BLOCK
148,21.27,0,BLOCK
149,16.15,0,BLOCK
150,22.96,0,BLOCK
151,20.46,0,BLOCK
152,18.76,0,BLOCK
153,15.77,0,BLOCK
154,14.15,0,BLOCK
155,23.77,0,BLOCK
156,17.9,0,BLOCK
157,2.15,1,ALLOW
158,22.7,1,BLOCK
159,19.2,0,BLOCK
160,12.44,0,BLOCK
161,11.75,0,BLOCK
162,12.68,0,BLOCK
163,26.49,0,BLOCK
164,18.63,0,BLOCK
165,15.97,0,BLOCK
166,4.3,1,BLOCK
167,13.74,0,BLOCK
168,3.45,0,ALLOW
169,22.03,0,BLOCK
170,28.48,0,BLOCK
171,2.67,1,ALLOW
172,28.93,0,BLOCK
173,24.66,0,BLOCK
174,15.14,0,BLOCK
175,18.56,0,BLOCK
176,15.16,0,BLOCK
177,2.14,1,ALLOW
178,19.58,0,BLOCK
179,19.54,0,BLOCK
180,19.75,0,BLOCK
181,18.48,0,BLOCK
182,2.73,1,ALLOW
183,27.14,0,BLOCK
184,4.31,1,BLOCK
185,22.15,0,BLOCK
186,12.27,0,BLOCK
187,23.95,0,BLOCK
188,26.63,0,BLOCK
189,14.44,0,BLOCK
190,2.58,0,ALLOW
191,22.59,0,BLOCK
192,3.16,0,ALLOW
193,21.85,0,BLOCK
194,4.75,1,BLOCK
195,20.17,0,BLOCK
196,22.04,0,BLOCK
197,23.81,0,BLOCK
198,16.91,0,BLOCK
199,13.52,0,BLOCK
200,2.03,1,ALLOW
201,25.89,0,BLOCK
202,4.23,0,BLOCK
203,16.43,0,BLOCK
204,19.91,0,BLOCK
205,1.15,1,ALLOW
206,1.42,1,ALLOW
207,19.82,0,BLOCK
208,22.81,0,BLOCK
209,26.12,0,BLOCK
210,24.84,0,BLOCK
211,27.89,0,BLOCK
212,25.11,0,BLOCK
213,7.63,0,BLOCK
214,21.04,0,BLOCK
215,22.32,0,BLOCK
216,14.19,0,BLOCK
217,25.15,0,BLOCK
218,12.23,0,BLOCK
219,5.22,1,BLOCK
220,3.6,1,BLOCK
221,14.63,0,BLOCK
222,3.63,0,BLOCK
223,15.38,0,BLOCK
224,20.77,0,BLOCK
225,21.37,0,BLOCK
226,3.32,0,ALLOW
227,12.45,0,BLOCK
228,20.96,0,BLOCK
229,4.43,0,BLOCK
230,22.13,0,BLOCK
231,2.95,1,ALLOW
232,20.01,0,BLOCK
233,19.36,0,BLOCK
234,6.33,0,BLOCK
235,24.59,0,BLOCK
236,4.2,0,BLOCK
237,4.51,0,BLOCK
238,14.29,0,BLOCK
239,2.2,1,ALLOW
240,17.16,0,BLOCK
241,24.76,0,BLOCK
242,19.35,0,BLOCK
243,4.44,0,BLOCK
244,11.88,0,BLOCK
245,19.8,0,BLOCK
246,3.76,0,BLOCK
247,2.26,1,ALLOW
248,14.05,0,BLOCK
249,2.27,0,ALLOW
250,20.18,0,BLOCK
251,15.84,0,BLOCK
252,17.4,0,BLOCK
253,11.14,0,BLOCK
254,16.99,0,BLOCK
255,12.02,0,BLOCK
256,22.82,0,BLOCK
257,23.54,0,BLOCK
258,4.39,0,BLOCK
259,17.4,0,BLOCK
260,2.34,1,ALLOW
261,5.61,0,BLOCK
262,18.0,0,BLOCK
263,10.85,0,BLOCK
264,20.43,0,BLOCK
265,3.65,1,BLOCK
266,18.51,0,BLOCK
267,16.24,0,BLOCK
268,23.76,0,BLOCK
269,22.79,0,BLOCK
270,20.32,0,BLOCK
271,19.26,0,BLOCK
272,18.07,0,BLOCK
273,1.24,1,ALLOW
274,14.35,0,BLOCK
275,18.36,0,BLOCK
276,10.42,1,BLOCK
