Transaction_ID,Risk_Score,Actual,Predicted,Action
0,12.67,0,0,ALLOW
1,8.87,0,0,ALLOW
2,12.56,0,0,ALLOW
3,16.71,0,0,ALLOW
4,89.78,1,1,BLOCK
5,18.33,0,0,ALLOW
6,13.72,0,0,ALLOW
7,13.38,0,0,ALLOW
8,23.62,0,0,ALLOW
9,13.29,0,0,ALLOW
10,12.04,0,0,ALLOW
11,11.49,0,0,ALLOW
12,11.18,0,0,ALLOW
13,13.5,0,0,ALLOW
14,13.79,0,0,ALLOW
15,13.61,0,0,ALLOW
16,12.83,0,0,ALLOW
17,86.91,1,1,BLOCK
18,19.42,0,0,ALLOW
19,15.73,0,0,ALLOW
20,11.36,0,0,ALLOW
21,4.76,0,0,ALLOW
22,13.1,0,0,ALLOW
23,81.47,1,1,BLOCK
24,10.19,0,0,ALLOW
25,15.6,0,0,ALLOW
26,12.35,0,0,ALLOW
27,12.61,0,0,ALLOW
28,76.42,1,1,BLOCK
29,11.65,0,0,ALLOW
30,8.62,0,0,ALLOW
31,11.53,0,0,ALLOW
32,8.83,0,0,ALLOW
33,80.43,1,1,BLOCK
34,91.04,1,1,BLOCK
35,14.74,0,0,ALLOW
36,13.33,0,0,ALLOW
37,51.09,0,1,MONITOR
38,4.26,0,0,ALLOW
39,12.74,0,0,ALLOW
40,15.53,0,0,ALLOW
41,10.15,0,0,ALLOW
42,8.92,0,0,ALLOW
43,76.85,1,1,BLOCK
44,17.3,0,0,ALLOW
45,83.43,1,1,BLOCK
46,11.26,0,0,ALLOW
47,8.46,0,0,ALLOW
48,11.38,0,0,ALLOW
49,13.5,0,0,ALLOW
50,13.61,0,0,ALLOW
51,12.98,0,0,ALLOW
52,16.3,0,0,ALLOW
53,17.84,0,0,ALLOW
54,13.87,0,0,ALLOW
55,7.26,0,0,ALLOW
56,13.81,0,0,ALLOW
57,17.93,0,0,ALLOW
58,12.92,0,0,ALLOW
59,10.92,0,0,ALLOW
60,8.63,0,0,ALLOW
61,10.5,0,0,ALLOW
62,9.55,0,0,ALLOW
63,10.21,0,0,ALLOW
64,12.17,0,0,ALLOW
65,12.74,0,0,ALLOW
66,11.41,0,0,ALLOW
67,11.46,0,0,ALLOW
68,10.64,0,0,ALLOW
69,10.5,0,0,ALLOW
70,14.34,0,0,ALLOW
71,17.48,1,0,ALLOW
72,16.94,0,0,ALLOW
73,18.19,0,0,ALLOW
74,11.48,0,0,ALLOW
75,16.97,0,0,ALLOW
76,9.97,0,0,ALLOW
77,9.63,0,0,ALLOW
78,13.46,0,0,ALLOW
79,4.14,0,0,ALLOW
80,12.88,0,0,ALLOW
81,10.59,0,0,ALLOW
82,11.63,0,0,ALLOW
83,10.78,0,0,ALLOW
84,13.48,0,0,ALLOW
85,9.12,0,0,ALLOW
86,11.45,0,0,ALLOW
87,95.85,1,1,BLOCK
88,13.28,0,0,ALLOW
89,14.26,0,0,ALLOW
90,12.75,0,0,ALLOW
91,16.86,0,0,ALLOW
92,8.14,0,0,ALLOW
93,8.31,0,0,ALLOW
94,98.5,1,1,BLOCK
95,14.49,0,0,ALLOW
96,14.71,0,0,ALLOW
97,12.55,0,0,ALLOW
98,12.88,0,0,ALLOW
99,11.77,0,0,ALLOW
100,9.82,0,0,ALLOW
101,12.8,0,0,ALLOW
102,9.19,0,0,ALLOW
103,8.71,0,0,ALLOW
104,12.93,0,0,ALLOW
105,10.9,0,0,ALLOW
106,10.82,0,0,ALLOW
107,8.52,0,0,ALLOW
108,15.06,0,0,ALLOW
109,7.99,0,0,ALLOW
110,17.48,1,0,ALLOW
111,9.59,0,0,ALLOW
112,22.46,0,0,ALLOW
113,10.89,0,0,ALLOW
114,81.99,1,1,BLOCK
115,93.82,1,1,BLOCK
116,10.27,0,0,ALLOW
117,13.86,0,0,ALLOW
118,80.73,1,1,BLOCK
119,9.4,0,0,ALLOW
120,10.84,0,0,ALLOW
121,16.21,0,0,ALLOW
122,16.32,0,0,ALLOW
123,14.79,0,0,ALLOW
124,14.37,0,0,ALLOW
125,42.26,0,1,MONITOR
126,12.34,0,0,ALLOW
127,8.4,0,0,ALLOW
128,9.88,0,0,ALLOW
129,9.93,0,0,ALLOW
130,10.57,0,0,ALLOW
131,13.6,1,0,ALLOW
132,11.76,0,0,ALLOW
133,10.33,0,0,ALLOW
134,13.52,0,0,ALLOW
135,18.48,0,0,ALLOW
136,8.27,0,0,ALLOW
137,13.23,0,0,ALLOW
138,2.94,0,0,ALLOW
139,16.96,0,0,ALLOW
140,12.59,0,0,ALLOW
141,16.94,0,0,ALLOW
142,18.06,0,0,ALLOW
143,12.81,0,0,ALLOW
144,7.85,0,0,ALLOW
145,13.45,1,0,ALLOW
146,4.43,0,0,ALLOW
147,14.78,0,0,ALLOW
148,13.23,0,0,ALLOW
149,13.87,0,0,ALLOW
150,17.19,0,0,ALLOW
151,13.2,0,0,ALLOW
152,11.24,0,0,ALLOW
153,13.25,0,0,ALLOW
154,7.48,0,0,ALLOW
155,15.2,0,0,ALLOW
156,10.67,0,0,ALLOW
157,84.87,1,1,BLOCK
158,26.57,1,0,ALLOW
159,12.12,0,0,ALLOW
160,8.68,0,0,ALLOW
161,7.87,0,0,ALLOW
162,7.15,0,0,ALLOW
163,15.01,0,0,ALLOW
164,16.77,0,0,ALLOW
165,11.44,0,0,ALLOW
166,90.46,1,1,BLOCK
167,8.67,0,0,ALLOW
168,3.66,0,0,ALLOW
169,13.86,0,0,ALLOW
170,15.94,0,0,ALLOW
171,92.03,1,1,BLOCK
172,17.82,0,0,ALLOW
173,13.81,0,0,ALLOW
174,11.05,0,0,ALLOW
175,12.9,0,0,ALLOW
176,12.78,0,0,ALLOW
177,77.51,1,1,BLOCK
178,11.1,0,0,ALLOW
179,14.07,0,0,ALLOW
180,14.54,0,0,ALLOW
181,12.36,0,0,ALLOW
182,71.18,1,1,BLOCK
183,18.53,0,0,ALLOW
184,90.17,1,1,BLOCK
185,17.75,0,0,ALLOW
186,6.33,0,0,ALLOW
187,18.44,0,0,ALLOW
188,15.94,0,0,ALLOW
189,11.82,0,0,ALLOW
190,1.88,0,0,ALLOW
191,14.08,0,0,ALLOW
192,37.3,0,0,ALLOW
193,13.03,0,0,ALLOW
194,92.07,1,1,BLOCK
195,14.43,0,0,ALLOW
196,12.08,0,0,ALLOW
197,15.04,0,0,ALLOW
198,13.84,0,0,ALLOW
199,8.33,0,0,ALLOW
200,88.48,1,1,BLOCK
201,17.05,0,0,ALLOW
202,4.67,0,0,ALLOW
203,10.38,0,0,ALLOW
204,15.71,0,0,ALLOW
205,88.12,1,1,BLOCK
206,91.3,1,1,BLOCK
207,12.19,0,0,ALLOW
208,11.51,0,0,ALLOW
209,15.4,0,0,ALLOW
210,11.61,0,0,ALLOW
211,18.23,0,0,ALLOW
212,12.77,0,0,ALLOW
213,8.19,0,0,ALLOW
214,9.9,0,0,ALLOW
215,15.76,0,0,ALLOW
216,9.57,0,0,ALLOW
217,12.23,0,0,ALLOW
218,9.16,0,0,ALLOW
219,36.14,1,0,ALLOW
220,80.54,1,1,BLOCK
221,14.18,0,0,ALLOW
222,5.18,0,0,ALLOW
223,10.04,0,0,ALLOW
224,14.31,0,0,ALLOW
225,13.53,0,0,ALLOW
226,2.77,0,0,ALLOW
227,8.16,0,0,ALLOW
228,13.55,0,0,ALLOW
229,5.75,0,0,ALLOW
230,11.79,0,0,ALLOW
231,91.66,1,1,BLOCK
232,13.7,0,0,ALLOW
233,8.56,0,0,ALLOW
234,3.56,0,0,ALLOW
235,13.93,0,0,ALLOW
236,4.42,0,0,ALLOW
237,4.27,0,0,ALLOW
238,8.91,0,0,ALLOW
239,89.37,1,1,BLOCK
240,14.48,0,0,ALLOW
241,13.13,0,0,ALLOW
242,15.1,0,0,ALLOW
243,3.83,0,0,ALLOW
244,7.06,0,0,ALLOW
245,11.45,0,0,ALLOW
246,3.74,0,0,ALLOW
247,82.96,1,1,BLOCK
248,8.92,0,0,ALLOW
249,3.59,0,0,ALLOW
250,13.51,0,0,ALLOW
251,10.01,0,0,ALLOW
252,9.89,0,0,ALLOW
253,7.94,0,0,ALLOW
254,11.9,0,0,ALLOW
255,7.54,0,0,ALLOW
256,16.26,0,0,ALLOW
257,16.06,0,0,ALLOW
258,4.05,0,0,ALLOW
259,9.17,0,0,ALLOW
260,90.07,1,1,BLOCK
261,4.15,0,0,ALLOW
262,12.85,0,0,ALLOW
263,8.01,0,0,ALLOW
264,12.46,0,0,ALLOW
265,80.05,1,1,BLOCK
266,10.75,0,0,ALLOW
267,10.66,0,0,ALLOW
268,16.7,0,0,ALLOW
269,17.01,0,0,ALLOW
270,13.83,0,0,ALLOW
271,18.31,0,0,ALLOW
272,9.69,0,0,ALLOW
273,88.66,1,1,BLOCK
274,10.69,0,0,ALLOW
275,9.95,0,0,ALLOW
276,76.31,1,1,BLOCK
277,9.83,0,0,ALLOW
278,15.43,1,0,ALLOW
279,6.91,0,0,ALLOW
280,4.22,0,0,ALLOW
281,11.98,0,0,ALLOW
282,13.58,0,0,ALLOW
283,12.3,0,0,ALLOW
284,13.47,0,0,ALLOW
285,10.43,0,0,ALLOW
286,16.46,0,0,ALLOW
287,7.49,0,0,ALLOW
288,9.26,0,0,ALLOW
289,14.18,0,0,ALLOW
290,12.13,0,0,ALLOW
291,10.01,0,0,ALLOW
292,18.15,0,0,ALLOW
293,12.55,0,0,ALLOW
294,18.26,0,0,ALLOW
295,1.4,0,0,ALLOW
296,12.57,0,0,ALLOW
