Transaction_ID,Risk_Score_0_100,Actual_Label,Action
0,13.29,0,ALLOW
1,9.34,0,ALLOW
2,12.99,0,ALLOW
3,16.98,0,BLOCK
4,90.28,1,BLOCK
5,19.17,0,BLOCK
6,13.93,0,ALLOW
7,13.37,0,ALLOW
8,24.57,0,BLOCK
9,13.66,0,ALLOW
10,12.8,0,ALLOW
11,11.61,0,ALLOW
12,11.63,0,ALLOW
13,14.61,0,ALLOW
14,13.88,0,ALLOW
15,13.62,0,ALLOW
16,13.18,0,ALLOW
17,88.13,1,BLOCK
18,19.8,0,BLOCK
19,16.73,0,BLOCK
20,12.09,0,ALLOW
21,5.37,0,ALLOW
22,13.74,0,ALLOW
23,81.51,1,BLOCK
24,10.26,0,ALLOW
25,16.01,0,ALLOW
26,12.44,0,ALLOW
27,12.91,0,ALLOW
28,77.5,1,BLOCK
29,12.04,0,ALLOW
30,8.34,0,ALLOW
31,12.1,0,ALLOW
32,9.6,0,ALLOW
33,79.4,1,BLOCK
34,91.83,1,BLOCK
35,14.43,0,ALLOW
36,13.49,0,ALLOW
37,51.06,0,BLOCK
38,4.1,0,ALLOW
39,13.61,0,ALLOW
40,15.81,0,ALLOW
41,10.94,0,ALLOW
42,9.45,0,ALLOW
43,77.27,1,BLOCK
44,18.35,0,BLOCK
45,84.52,1,BLOCK
46,11.49,0,ALLOW
47,8.45,0,ALLOW
48,11.35,0,ALLOW
49,13.77,0,ALLOW
50,14.55,0,ALLOW
51,12.64,0,ALLOW
52,16.01,0,ALLOW
53,19.25,0,BLOCK
54,13.29,0,ALLOW
55,8.0,0,ALLOW
56,14.92,0,ALLOW
57,16.96,0,BLOCK
58,13.5,0,ALLOW
59,11.21,0,ALLOW
60,9.05,0,ALLOW
61,10.43,0,ALLOW
62,9.68,0,ALLOW
63,10.62,0,ALLOW
64,12.15,0,ALLOW
65,12.74,0,ALLOW
66,12.14,0,ALLOW
67,11.27,0,ALLOW
68,10.9,0,ALLOW
69,10.89,0,ALLOW
70,14.35,0,ALLOW
71,17.48,1,BLOCK
72,16.86,0,BLOCK
73,18.56,0,BLOCK
74,11.61,0,ALLOW
75,17.39,0,BLOCK
76,10.08,0,ALLOW
77,9.9,0,ALLOW
78,13.7,0,ALLOW
79,4.43,0,ALLOW
80,12.5,0,ALLOW
81,11.39,0,ALLOW
82,11.56,0,ALLOW
83,12.16,0,ALLOW
84,13.5,0,ALLOW
85,9.2,0,ALLOW
86,11.83,0,ALLOW
87,95.87,1,BLOCK
88,14.11,0,ALLOW
89,14.98,0,ALLOW
90,12.98,0,ALLOW
91,17.17,0,BLOCK
92,8.2,0,ALLOW
93,8.56,0,ALLOW
94,98.65,1,BLOCK
95,15.02,0,ALLOW
96,14.78,0,ALLOW
97,12.92,0,ALLOW
98,12.59,0,ALLOW
99,11.32,0,ALLOW
100,9.59,0,ALLOW
101,13.73,0,ALLOW
102,8.52,0,ALLOW
103,8.75,0,ALLOW
104,13.66,0,ALLOW
105,11.58,0,ALLOW
106,12.04,0,ALLOW
107,9.08,0,ALLOW
108,14.84,0,ALLOW
109,8.17,0,ALLOW
110,18.81,1,BLOCK
111,10.69,0,ALLOW
112,22.54,0,BLOCK
113,10.72,0,ALLOW
114,81.98,1,BLOCK
115,93.69,1,BLOCK
116,10.84,0,ALLOW
117,14.21,0,ALLOW
118,80.37,1,BLOCK
119,10.52,0,ALLOW
120,11.21,0,ALLOW
121,16.98,0,BLOCK
122,17.74,0,BLOCK
123,15.33,0,ALLOW
124,13.56,0,ALLOW
125,44.11,0,BLOCK
126,12.55,0,ALLOW
127,9.39,0,ALLOW
128,9.68,0,ALLOW
129,9.8,0,ALLOW
130,10.79,0,ALLOW
131,13.53,1,ALLOW
132,12.7,0,ALLOW
133,10.5,0,ALLOW
134,14.31,0,ALLOW
135,18.71,0,BLOCK
136,8.5,0,ALLOW
137,12.59,0,ALLOW
138,3.04,0,ALLOW
139,17.62,0,BLOCK
140,13.08,0,ALLOW
141,18.42,0,BLOCK
142,18.88,0,BLOCK
143,13.41,0,ALLOW
144,7.75,0,ALLOW
145,13.75,1,ALLOW
146,4.44,0,ALLOW
147,15.1,0,ALLOW
148,13.52,0,ALLOW
149,14.15,0,ALLOW
150,17.7,0,BLOCK
151,13.38,0,ALLOW
152,12.31,0,ALLOW
153,14.75,0,ALLOW
154,7.82,0,ALLOW
155,14.83,0,ALLOW
156,10.89,0,ALLOW
157,84.48,1,BLOCK
158,26.51,1,BLOCK
159,11.8,0,ALLOW
160,9.12,0,ALLOW
161,8.25,0,ALLOW
162,7.16,0,ALLOW
163,15.35,0,ALLOW
164,16.52,0,ALLOW
165,11.99,0,ALLOW
166,91.8,1,BLOCK
167,9.25,0,ALLOW
168,3.64,0,ALLOW
169,14.8,0,ALLOW
170,15.49,0,ALLOW
171,92.31,1,BLOCK
172,19.35,0,BLOCK
173,13.94,0,ALLOW
174,11.93,0,ALLOW
175,13.2,0,ALLOW
176,12.29,0,ALLOW
177,77.27,1,BLOCK
178,12.0,0,ALLOW
179,14.55,0,ALLOW
180,15.21,0,ALLOW
181,13.26,0,ALLOW
182,70.42,1,BLOCK
183,18.85,0,BLOCK
184,91.15,1,BLOCK
185,18.44,0,BLOCK
186,5.84,0,ALLOW
187,18.59,0,BLOCK
188,17.68,0,BLOCK
189,12.34,0,ALLOW
190,2.05,0,ALLOW
191,14.61,0,ALLOW
192,37.03,0,BLOCK
193,12.83,0,ALLOW
194,92.43,1,BLOCK
195,15.87,0,ALLOW
196,12.77,0,ALLOW
197,14.62,0,ALLOW
198,14.82,0,ALLOW
199,9.11,0,ALLOW
200,88.81,1,BLOCK
201,17.21,0,BLOCK
202,4.88,0,ALLOW
203,9.85,0,ALLOW
204,16.03,0,ALLOW
205,88.97,1,BLOCK
206,90.9,1,BLOCK
207,12.59,0,ALLOW
208,11.56,0,ALLOW
209,16.34,0,ALLOW
210,11.76,0,ALLOW
211,19.19,0,BLOCK
212,13.71,0,ALLOW
213,8.19,0,ALLOW
214,10.35,0,ALLOW
215,15.76,0,ALLOW
216,9.3,0,ALLOW
217,12.4,0,ALLOW
218,8.71,0,ALLOW
219,36.06,1,BLOCK
220,79.85,1,BLOCK
221,14.49,0,ALLOW
222,5.2,0,ALLOW
223,10.0,0,ALLOW
224,15.08,0,ALLOW
225,13.24,0,ALLOW
226,2.99,0,ALLOW
227,8.09,0,ALLOW
228,13.29,0,ALLOW
229,6.09,0,ALLOW
230,11.68,0,ALLOW
231,92.3,1,BLOCK
232,13.95,0,ALLOW
233,8.84,0,ALLOW
234,3.78,0,ALLOW
235,14.23,0,ALLOW
236,4.17,0,ALLOW
237,4.41,0,ALLOW
238,9.02,0,ALLOW
239,90.12,1,BLOCK
240,13.48,0,ALLOW
241,13.08,0,ALLOW
242,15.57,0,ALLOW
243,3.96,0,ALLOW
244,6.73,0,ALLOW
245,11.68,0,ALLOW
246,3.44,0,ALLOW
247,82.92,1,BLOCK
248,9.19,0,ALLOW
249,3.2,0,ALLOW
250,14.28,0,ALLOW
251,9.79,0,ALLOW
252,10.89,0,ALLOW
253,7.99,0,ALLOW
254,11.99,0,ALLOW
255,8.27,0,ALLOW
256,16.18,0,ALLOW
257,16.09,0,ALLOW
258,4.48,0,ALLOW
259,9.25,0,ALLOW
260,90.08,1,BLOCK
261,4.3,0,ALLOW
262,13.2,0,ALLOW
263,8.15,0,ALLOW
264,12.26,0,ALLOW
265,80.23,1,BLOCK
266,11.66,0,ALLOW
267,10.25,0,ALLOW
268,16.12,0,ALLOW
269,17.71,0,BLOCK
270,14.16,0,ALLOW
271,19.02,0,BLOCK
272,10.34,0,ALLOW
273,89.11,1,BLOCK
274,10.46,0,ALLOW
275,10.45,0,ALLOW
276,75.65,1,BLOCK
277,10.03,0,ALLOW
278,15.06,1,ALLOW
279,6.8,0,ALLOW
280,4.04,0,ALLOW
281,12.01,0,ALLOW
282,13.34,0,ALLOW
283,13.04,0,ALLOW
284,13.64,0,ALLOW
285,10.6,0,ALLOW
286,17.26,0,BLOCK
287,7.36,0,ALLOW
288,9.88,0,ALLOW
289,14.89,0,ALLOW
290,12.31,0,ALLOW
291,10.79,0,ALLOW
292,18.43,0,BLOCK
293,12.75,0,ALLOW
294,18.6,0,BLOCK
295,1.53,0,ALLOW
296,12.97,0,ALLOW
297,5.92,0,ALLOW
298,12.45,0,ALLOW
299,10.08,0,ALLOW
300,16.86,0,BLOCK
301,11.46,0,ALLOW
302,15.85,0,ALLOW
303,3.79,0,ALLOW
304,95.2,1,BLOCK
305,8.27,0,ALLOW
306,2.82,0,ALLOW
307,10.42,0,ALLOW
308,3.43,0,ALLOW
309,90.69,1,BLOCK
310,85.58,1,BLOCK
311,12.52,0,ALLOW
312,8.14,0,ALLOW
313,11.11,0,ALLOW
314,11.88,0,ALLOW
315,69.8,1,BLOCK
316,12.13,0,ALLOW
317,14.31,0,ALLOW
318,79.11,1,BLOCK
319,9.66,0,ALLOW
320,18.59,0,BLOCK
321,6.95,0,ALLOW
322,11.85,0,ALLOW
323,17.7,0,BLOCK
324,6.05,0,ALLOW
325,14.25,0,ALLOW
326,8.12,0,ALLOW
327,10.68,0,ALLOW
328,92.04,1,BLOCK
329,2.73,0,ALLOW
330,12.74,0,ALLOW
331,10.35,0,ALLOW
332,78.67,1,BLOCK
333,90.4,1,BLOCK
334,15.19,0,ALLOW
335,77.19,1,BLOCK
336,14.73,0,ALLOW
337,9.74,0,ALLOW
338,13.68,0,ALLOW
339,8.55,0,ALLOW
340,6.24,0,ALLOW
341,13.56,0,ALLOW
342,11.97,0,ALLOW
343,18.11,0,BLOCK
344,13.06,0,ALLOW
345,13.2,0,ALLOW
346,3.16,0,ALLOW
347,16.66,0,BLOCK
348,83.2,1,BLOCK
349,86.01,1,BLOCK
350,17.8,0,BLOCK
351,3.01,0,ALLOW
352,13.39,0,ALLOW
353,16.74,1,BLOCK
354,2.54,0,ALLOW
355,9.52,0,ALLOW
356,5.04,0,ALLOW
357,11.05,0,ALLOW
358,16.7,0,BLOCK
359,11.26,0,ALLOW
360,10.58,0,ALLOW
361,11.29,0,ALLOW
362,13.46,0,ALLOW
363,11.8,0,ALLOW
364,90.23,1,BLOCK
365,17.37,0,BLOCK
366,5.87,0,ALLOW
367,14.41,0,ALLOW
368,7.14,0,ALLOW
369,16.27,0,ALLOW
370,89.62,1,BLOCK
371,16.72,0,BLOCK
372,95.04,1,BLOCK
373,51.56,0,BLOCK
374,14.61,0,ALLOW
375,15.2,0,ALLOW
